frame,timestep,delta_tx,delta_ty,delta_tz,delta_trans_mm,delta_rot_deg,pose_tx,pose_ty,pose_tz,trans_error_mm,rot_error_deg
0.0,10.0,0.0,0.0,0.0,0.0,0.0,-0.11403925716876984,-0.009547551162540913,0.09257150441408157,61.82583236694336,16.124650955200195
1.0,9.0,0.003951719030737877,0.0017252927646040916,0.0034888703376054764,5.546614646911621,0.1370561122894287,-0.11008753627538681,-0.007822258397936821,0.0960603728890419,58.663150787353516,16.04601287841797
2.0,8.0,0.003945380449295044,0.001562478020787239,0.003197023645043373,5.313033580780029,0.13988231122493744,-0.10614215582609177,-0.006259780377149582,0.09925739467144012,55.77851486206055,15.958454132080078
3.0,7.0,0.003936617635190487,0.0014564534649252892,0.0030213650315999985,5.171736717224121,0.14265252649784088,-0.1022055372595787,-0.004803326912224293,0.10227876156568527,53.199302673339844,15.862480163574219
4.0,6.0,0.003898230381309986,0.0013637666124850512,0.0028135478496551514,4.997210502624512,0.1532333791255951,-0.098307304084301,-0.0034395602997392416,0.10509230941534042,50.94670867919922,15.75240707397461
5.0,5.0,0.003831248264759779,0.0014229624066501856,0.0020982790738344193,4.594133377075195,0.16312940418720245,-0.09447605907917023,-0.002016597893089056,0.1071905866265297,48.85155487060547,15.622568130493164
6.0,4.0,0.003863782621920109,0.0012841946445405483,0.0010306034237146378,4.200013637542725,0.1678587943315506,-0.09061227738857269,-0.0007324032485485077,0.10822118818759918,46.5100212097168,15.475420951843262
7.0,3.0,0.004028934985399246,0.00039844075217843056,1.9492581486701965e-05,4.048635482788086,0.16551098227500916,-0.08658334612846375,-0.00033396249637007713,0.10824067890644073,43.460811614990234,15.321521759033203
8.0,2.0,0.004205117467790842,-0.00039963098242878914,-0.0012083593755960464,4.393500804901123,0.1370561122894287,-0.08237823098897934,-0.0007335934787988663,0.10703232139348984,39.468711853027344,15.195886611938477
9.0,1.0,0.004534678068011999,-0.001090234611183405,-0.0014703162014484406,4.8901686668396,0.10835235565900803,-0.0778435543179512,-0.0018238280899822712,0.1055620014667511,34.90700149536133,15.093427658081055
10.0,0.0,0.004929140210151672,-0.0014946279115974903,-0.002308039925992489,5.6442341804504395,0.11534988135099411,-0.07291441410779953,-0.0033184560015797615,0.10325396060943604,29.502281188964844,14.986723899841309
